period_start,post_count
2024-08-04,491
2024-08-05,515
2024-08-06,568
2024-08-07,591
2024-08-08,626
2024-08-09,588
2024-08-10,396
2024-08-11,459
2024-08-12,584
2024-08-13,529
2024-08-14,582
2024-08-15,523
2024-08-16,503
2024-08-17,495
2024-08-18,494
2024-08-19,492
2024-08-20,564
2024-08-21,501
2024-08-22,652
2024-08-23,497
2024-08-24,475
2024-08-25,393
2024-08-26,520
2024-08-27,560
2024-08-28,519
2024-08-29,626
2024-08-30,698
2024-08-31,665
2024-09-01,577
2024-09-02,470
2024-09-03,742
2024-09-04,728
2024-09-05,591
2024-09-06,682
2024-09-07,512
2024-09-08,422
2024-09-09,656
2024-09-10,756
2024-09-11,795
2024-09-12,582
2024-09-13,715
2024-09-14,559
2024-09-15,464
2024-09-16,537
2024-09-17,751
2024-09-18,669
2024-09-19,719
2024-09-20,619
2024-09-21,597
2024-09-22,484
2024-09-23,563
2024-09-24,782
2024-09-25,700
2024-09-26,798
2024-09-27,912
2024-09-28,632
2024-09-29,575
2024-09-30,856
2024-10-01,596
2024-10-02,651
2024-10-03,568
2024-10-04,610
2024-10-05,498
2024-10-06,495
2024-10-07,649
2024-10-08,826
2024-10-09,684
2024-10-10,676
2024-10-11,770
2024-10-12,526
2024-10-13,493
2024-10-14,545
2024-10-15,680
2024-10-16,744
2024-10-17,1128
2024-10-18,1212
2024-10-19,934
2024-10-20,751
2024-10-21,938
2024-10-22,1078
2024-10-23,1037
2024-10-24,917
2024-10-25,821
2024-10-26,641
2024-10-27,632
2024-10-28,781
2024-10-29,800
2024-10-30,1034
2024-10-31,868
2024-11-01,975
2024-11-02,687
2024-11-03,595
2024-11-04,764
2024-11-05,894
2024-11-06,875
2024-11-07,1016
2024-11-08,1168
2024-11-09,961
2024-11-10,991
2024-11-11,1115
2024-11-12,1563
2024-11-13,1914
2024-11-14,3036
2024-11-15,2698
2024-11-16,2292
2024-11-17,2080
2024-11-18,2390
2024-11-19,2983
2024-11-20,3008
2024-11-21,2734
2024-11-22,2713
2024-11-23,2204
2024-11-24,1972
2024-11-25,2339
2024-11-26,2674
2024-11-27,2900
2024-11-28,2147
2024-11-29,2124
2024-11-30,1984
2024-12-01,2034
2024-12-02,2286
2024-12-03,2515
2024-12-04,2484
2024-12-05,2371
2024-12-06,2356
2024-12-07,2041
2024-12-08,1703
2024-12-09,2085
2024-12-10,2187
2024-12-11,2340
2024-12-12,2388
2024-12-13,2184
2024-12-14,1959
2024-12-15,1728
2024-12-16,1968
2024-12-17,2211
2024-12-18,2278
2024-12-19,2566
2024-12-20,2610
2024-12-21,1872
2024-12-22,1593
2024-12-23,2106
2024-12-24,1613
2024-12-25,1047
2024-12-26,1492
2024-12-27,1675
2024-12-28,1492
2024-12-29,1462
2024-12-30,1787
2024-12-31,1731
2025-01-01,1568
2025-01-02,1624
2025-01-03,1884
2025-01-04,1522
2025-01-05,2082
2025-01-06,2661
2025-01-07,2461
2025-01-08,2634
2025-01-09,2521
2025-01-10,2593
2025-01-11,1747
2025-01-12,1690
2025-01-13,2103
2025-01-14,2534
2025-01-15,2379
2025-01-16,2171
2025-01-17,2327
2025-01-18,1789
2025-01-19,1695
2025-01-20,1645
2025-01-21,2022
2025-01-22,2426
2025-01-23,2243
2025-01-24,2254
2025-01-25,1793
2025-01-26,1672
2025-01-27,2396
2025-01-28,3059
2025-01-29,2392
2025-01-30,16245
2025-01-31,9473
2025-02-01,4720
2025-02-02,3016
2025-02-03,2791
2025-02-04,2583
2025-02-05,2903
2025-02-06,3745
2025-02-07,3164
2025-02-08,2076
2025-02-09,1778
2025-02-10,2278
2025-02-11,2775
2025-02-12,2275
2025-02-13,2335
2025-02-14,2378
2025-02-15,1777
2025-02-16,1756
2025-02-17,4843
2025-02-18,4031
2025-02-19,3566
2025-02-20,2922
2025-02-21,2670
2025-02-22,2171
2025-02-23,2168
2025-02-24,2276
2025-02-25,3067
2025-02-26,3162
2025-02-27,4350
2025-02-28,3736
2025-03-01,2259
2025-03-02,1972
2025-03-03,2272
2025-03-04,2650
2025-03-05,2568
2025-03-06,2671
2025-03-07,3999
2025-03-08,2475
2025-03-09,2066
2025-03-10,2776
2025-03-11,2738
2025-03-12,2432
2025-03-13,2374
2025-03-14,2223
2025-03-15,1719
2025-03-16,1853
2025-03-17,885
